Code ue;Matiere;Semestre;ParcoursID;ue ID
GEC151;Machines de chantier;3;1094;368
GEM310;Fabrication Mécanique I;3;1094;369
MTH221;Suites et séries des fonctions;3;1094;370
PHY309;Magnétostatique et Régimes variables I;3;1094;371
STA160;Calcul de probabilités et statistiques;3;1094;372
ANG201;Anglais de spécialité : approche thématique des textes;4;1094;373
FRA205;Français : Ecrits professionnels;4;1094;374
GEC115;Géologie appliquée;4;1094;375
GEC127;Dessin d'architecture;4;1094;376
GEM105;Statique Appliquée;4;1094;377
GEM122;Introduction à la Mécanique des fluides;4;1094;378
INF300;Programmation Orientée Objet;4;1094;379
INF305;Introduction au Système UNIX;4;1094;380
MTH104;Calcul Intégral et applications;4;1094;381
PHY319;Magnétostatique et Régimes variables II;4;1094;382
GEC120;Topographie;5;1094;383
GEC130;Matériaux de construction des ouvrages de GC;5;1094;384
GEC220;Initiation au DAO;5;1094;385
GEC305;Ecoulement en charge;5;1094;386
GEM210;Résistance des Matériaux pour GC;5;1094;387
MTH400;Analyse Numérique;5;1094;388
MTH410;Fonctions spéciales et équations aux dérivées partielles;5;1094;389
MTH420;Analyse tensorielle et introduction à la MMC;5;1094;390
CPT400;Comptabilité;6;1094;391
DRI400;Gestion de la proprieté industrielle;6;1094;392
GEC160;Conception bâtiments;6;1094;393
GEC235;Projet de topographie;6;1094;394
GEC310;Ecoulement à surface libre;6;1094;395
GEC315;Structures;6;1094;396
GEC370;Hydrologie de l'ingénieur;6;1094;397
GEL307;Equipements électriques;6;1094;398
GEM495;Mécanique des milieux continus;6;1094;399
CHM107;Chimie appliquée;1;1095;400
CHM113;Chimie par la Pratique;1;1095;401
GEM100;Dessin Technique I;1;1095;402
GEM110;Géométrie Descriptive de base;1;1095;403
INF100;Système d'exploitation et introduction à la programmation;1;1095;404
MTH100;Bases mathématiques;1;1095;405
MTH101;Algèbre linéaire de base;1;1095;406
PHY109;Electrostatique;1;1095;407
PHY119;Lumière et application I;1;1095;408
