code_ue,nom_matiere,semestre,id_parcours,ue_id,id_enseignant
MTH1321,Mathématiques pour l’Ingénieur : Probabilités et Statistiques,3,1074,260,340126
MTH1322,Algèbre tensorielle,3,1074,261,830803
PHY1320,Physique pour l'ingénieur : Loi de la thermodynamique,3,1074,262,611394
PHY1321,Physique pour l'ingénieur : Optique,3,1074,263,579198
SEG1320,Economie et comptabilité,3,1074,264,788685
ANG1420,"Anglais de spécialité : Approche thématique des textes, compréhension orale et écrite",4,1074,265,530804
DRT1420,Droit: droit du travail et droit de l'informatique,4,1074,266,340126
INF1428,Architecture et fonctionnement des réseaux Informatiques,4,1074,267,241174
INF1429,Analyse et conception MERISE,4,1074,268,871885
MTH1420,Calcul différentiel dans Rn,4,1074,269,666124
MTH1421,Statistiques inférentielles (décisionnelles),4,1074,270,512889
MTH1422,Analyse numérique et Pratique,4,1074,271,367115
MTH1423,Théorie des graphes,4,1074,272,276381
ANG1520,Anglais,5,1074,273,176040
GEI1520,Introduction aux technologies de fabrication avancées,5,1074,274,852973
GEI1521,Qualité niveau I,5,1074,275,968801
GES1520,Gestion des stocks niveau I,5,1074,276,176040
GES1521,Gestion de production niveau I,5,1074,277,495082
INF1520,Initiation aux Systèmes d’Information,5,1074,278,151560
INF1521,Base de données,5,1074,279,837272
INF1525,Projet tutoré,5,1074,280,394695
MTH1520,Recherche opérationnelle,5,1074,281,246911
MTH1524,Modélisation statistique,5,1074,282,276269
ANG1620,Anglais,6,1074,283,569234
GEI1620,Qualité niveau II,6,1074,284,997024
GES1620,Gestion des stocks niveau II,6,1074,285,357631
GES1621,Gestion de production niveau II,6,1074,286,757394
GES1623,Logistique de transport et de distribution,6,1074,287,887574
INF1630,Stage,6,1074,288,234788
CHM107,Chimie appliquée,1,1093,289,965594
CHM113,Chimie par la Pratique,1,1093,290,709472
GEM100,Dessin Technique I,1,1093,291,845836
GEM110,Géométrie Descriptive de base,1,1093,292,241174
INF100,Système d'exploitation et introduction à la programmation,1,1093,293,579198
MTH100,Bases mathématiques,1,1093,294,330694
MTH101,Algèbre linéaire de base,1,1093,295,831383
PHY109,Electrostatique,1,1093,296,652365
PHY119,Lumière et Applications I,1,1093,297,116039
PHY129,Statique et Dynamique I,1,1093,298,388720
ANG100,Anglais : Ecouter et Parler,2,1093,299,555510
FRA100,Fançais : Ecouter et Parler,2,1093,300,554655
GEM200,Dessin Technique II,2,1093,301,575196
INF200,Algorithme et structures de données,2,1093,302,743679
MTH102,Structure algébrique de base,2,1093,303,555510
MTH103,Calcul Différentiel dans IR,2,1093,304,367115
PHY209,Electrocinétique,2,1093,305,722253
PHY219,Lumière et Applications II,2,1093,306,636876
PHY229,Statique et Dynamique II,2,1093,307,808285
ANG101,Anglais : Lire  et Ecrire,3,1093,308,296062
ECO300,Economie Générale,3,1093,309,708175
FRA101,Français: Lire  et Ecrire,3,1093,310,386235
GEL300,Introduction à l'Electronique,3,1093,311,405656
GEM310,Fabrication Mécanique I,3,1093,312,886564
MTH221,Suite et Séries des fonctions,3,1093,313,992676
PHY309,Magnétostatique & Rég. Variables I,3,1093,314,881142
PHY339,Physique des Capteurs,3,1093,315,435586
STA160,Calculs de Probabilités et Statistiques,3,1093,316,575196
ANG201,Anglais de spécialité : approche thématique des textes,4,1093,317,957407
FRA205,Fançais : Ecrits professionnels,4,1093,318,793117
GEL350,Introduction à l'Electrotechnique,4,1093,319,131961
GEM105,Statique Appliquée,4,1093,320,650718
GEM122,Introduction à la Mécanique des fluides,4,1093,321,192621
